Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Batt_Voltage_mV,Batt_Current_mA,Batt_Percent,Batt_State,Leaf_Detections,Pest_Detections
17:02:04.168,sequential,8.3,438.0,172.0,11.0,947.8,49.6,2400,16517,-454,99,idle,None,None
17:02:04.673,sequential,8.3,438.0,172.0,12.6,947.8,50.1,1800,16520,-338,99,idle,None,None
17:02:05.179,sequential,8.3,455.6,172.0,99.0,946.4,54.0,2400,16479,-471,99,idle,None,None
17:02:05.682,sequential,8.3,455.6,164.8,19.1,944.7,49.6,2400,16510,-524,99,idle,None,None
17:02:06.184,sequential,8.3,455.6,164.8,4.0,942.7,49.0,2400,16520,-383,99,idle,None,None
17:02:06.691,sequential,8.4,455.6,164.8,48.2,942.7,54.0,2400,16512,-374,99,idle,None,None
17:02:07.193,sequential,8.4,437.6,170.5,75.4,941.5,51.2,2400,16477,-530,99,idle,None,None
17:02:07.696,sequential,8.3,437.6,170.5,6.0,947.8,50.1,2400,16518,-488,99,idle,None,None
17:02:08.198,sequential,8.3,437.6,170.5,4.0,946.6,50.1,2400,16521,-333,99,idle,None,None
17:02:08.709,sequential,8.3,437.4,170.5,87.3,946.6,53.5,2400,16483,-446,99,idle,None,None
17:02:09.212,sequential,8.3,437.4,166.0,35.3,946.6,50.7,2400,16506,-529,99,idle,None,None
17:02:09.714,sequential,8.3,437.4,166.0,4.0,946.6,50.1,2400,16517,-415,99,idle,None,None
17:02:10.220,sequential,8.3,437.4,166.0,34.7,942.1,51.8,2400,16520,-339,99,idle,None,None
17:02:10.723,sequential,8.3,451.8,162.7,93.0,942.3,52.9,2400,16472,-503,99,idle,None,None
17:02:11.225,sequential,8.3,451.8,162.7,4.0,941.0,50.7,2400,16510,-517,99,idle,None,None
17:02:11.727,sequential,8.3,451.8,162.7,4.0,941.0,49.6,2400,16515,-436,99,idle,None,None
17:02:12.234,sequential,8.3,451.8,162.7,69.3,941.4,54.5,2400,16488,-413,99,idle,None,None
17:02:12.737,sequential,8.3,442.6,203.7,60.1,951.6,50.7,2400,16472,-494,99,idle,None,None
17:02:13.239,sequential,8.3,442.6,203.7,4.5,951.6,49.6,2400,16506,-541,99,idle,None,None
17:02:13.746,sequential,8.4,442.6,203.7,6.5,951.6,50.1,2400,16517,-379,99,idle,None,None
17:02:14.251,sequential,8.4,426.3,203.7,99.5,951.8,55.1,2400,16505,-384,99,idle,None,None
17:02:14.754,sequential,8.4,426.3,196.8,22.6,951.4,50.7,2400,16471,-536,99,idle,None,None
17:02:15.256,sequential,8.3,426.3,196.8,4.5,947.3,50.1,1900,16516,-396,99,idle,None,None
17:02:15.762,sequential,8.3,426.3,196.8,44.5,947.5,51.8,2400,16518,-351,99,idle,None,None
17:02:16.303,sequential,8.3,455.8,196.8,96.3,946.5,53.5,2400,16470,-518,99,idle,None,None
17:02:16.805,sequential,8.3,455.8,301.8,6.0,946.5,50.7,2400,16505,-537,99,idle,None,None
17:02:17.307,sequential,8.3,455.8,301.8,4.0,945.6,50.1,2400,16514,-370,99,idle,None,None
17:02:17.814,sequential,7.2,455.8,301.8,61.2,949.5,54.5,2400,16505,-377,99,idle,None,None
17:02:18.317,sequential,7.2,433.1,189.9,65.7,951.9,51.8,2400,16471,-533,99,idle,None,None
17:02:18.819,sequential,8.3,433.1,189.9,5.0,951.9,50.7,2400,16509,-489,99,idle,None,None
17:02:19.322,sequential,8.3,433.1,189.9,4.5,949.2,50.7,2400,16514,-335,99,idle,None,None
17:02:19.827,sequential,8.3,421.8,189.9,97.5,949.2,54.0,2400,16477,-449,99,idle,None,None
17:02:20.330,sequential,8.3,421.8,185.4,25.6,947.0,51.2,2400,16502,-531,99,idle,None,None
17:02:20.832,sequential,8.3,421.8,185.4,4.5,947.5,50.1,1700,16514,-416,99,idle,None,None
17:02:21.338,sequential,8.3,421.8,185.4,42.0,946.9,54.0,2400,16516,-339,99,idle,None,None
17:02:21.841,sequential,8.3,442.1,175.2,84.7,946.9,54.0,2400,16466,-507,99,idle,None,None
17:02:22.343,sequential,8.4,442.1,175.2,4.0,943.7,50.7,2400,16505,-523,99,idle,None,None
17:02:22.845,sequential,8.4,442.1,175.2,4.0,943.7,50.7,2400,16514,-355,99,idle,None,None
17:02:23.351,sequential,8.4,442.1,175.2,78.0,942.3,55.1,2400,16481,-410,99,idle,None,None
17:02:23.853,sequential,8.3,443.9,168.7,47.8,942.2,52.4,2400,16469,-534,99,idle,None,None
17:02:24.356,sequential,8.3,443.9,168.7,4.5,941.5,50.7,2400,16508,-456,99,idle,None,None
